Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Marlena Gabriel,F,SBD,Raw,Open,72,135.0,75.0,165.0,375.0
Diana Le Roy,F,SBD,Single-ply,Open,90+,125.0,72.5,-140.0,57.5
Verneri Ylimäki,M,SBD,Raw,Open,105,180.0,110.0,252.5,542.5
Øyvind Brennset,M,SBD,Single-ply,Juniors 19-23,75,155.0,85.0,160.0,400.0
Jasmine Chapman,F,SBD,Raw,FR-O,57,110.0,52.5,132.5,295.0
Anna K Haar,F,SBD,Raw,Open,84,157.5,77.5,160.0,395.0
Andrew Richard,M,SBD,Raw,MR-O,83,232.5,155.0,245.0,632.5
Eimear McCabe,F,SBD,Raw,F-C-Open,72,-87.5,47.5,95.0,55.0
Marius Perianudumitru,M,SBD,Raw,Seniors,74,165.0,-125.0,205.0,245.0
Gunhild Knutsen,F,SBD,Raw,Open,84,25.0,-25.0,60.0,60.0
Tery Powell,M,SBD,Single-ply,M-Jr,105,290.0,190.0,282.5,762.5
Patrick Johnson,M,SBD,Single-ply,M-O,110,295.0,210.0,265.0,770.0
藤本 章夫,M,SBD,Raw,Masters 3,83,120.0,110.0,180.0,410.0
Corbin Young,M,SBD,Raw,MR-Jr,105,185.0,-135.0,205.0,255.0
Tobias Rogers,M,SBD,Raw,MR-O,93,232.5,147.5,255.0,635.0
You-Si Jhang,M,SBD,Single-ply,Open,83,255.0,155.0,290.0,700.0
Logan Morrison,M,SBD,Raw,MR-T2,93,160.0,92.5,167.5,420.0
Tapani Laitala,M,SBD,Single-ply,Masters 3,120,250.0,155.0,220.0,625.0
Anna Emilie Engebretsen,F,SBD,Raw,Open,84,110.0,60.0,137.5,307.5
Sabina Oproiu,F,SBD,Single-ply,Junior II,57,-80.0,50.0,70.0,40.0
Tamara Lopes,F,SBD,Raw,FR-M2,72,62.5,62.5,137.5,262.5
Alexandra Adams,F,SBD,Raw,FR-O,52,120.0,62.5,130.0,312.5
Roman Malo,M,SBD,Raw,Open,83,215.0,120.0,240.0,575.0
Kay Lucas,F,SBD,Raw,FR-M2b,52,60.0,40.0,77.5,177.5
Fredrik Danielsen,M,SBD,Raw,Open,93,165.0,125.0,235.0,525.0
Shawn Womack,M,SBD,Single-ply,M-O,59,112.5,70.0,137.5,320.0
Jamie Bloomfield,F,SBD,Raw,Open,63,105.0,55.0,117.5,277.5
Roman Kidiba,M,SBD,Single-ply,Open,75,235.0,135.0,-230.0,140.0
Álvaro de Balbín Bueno,M,SBD,Raw,SNR,93,187.5,115.0,200.0,502.5
Anthony Yatos,M,SBD,Raw,MR-T3,66,215.0,-122.5,215.0,307.5
Alexis Seaman,F,SBD,Raw,Juniors,84,150.0,70.0,180.0,400.0
Grégory Fontaine,M,SBD,Raw,Sub-Juniors,74,130.0,85.0,160.0,375.0
Carrisa Tashiro,F,SBD,Raw,FR-O,76,67.5,-45.0,87.5,110.0
Cyrille Vaillant,M,SBD,Single-ply,Masters 1,93,-300.0,200.0,260.0,160.0
Chandler Thompson,M,SBD,Raw,MR-O,93,142.5,85.0,142.5,370.0
Ivan Solovyev,M,SBD,Single-ply,Juniors,100,310.0,190.0,280.0,780.0
Ricardo de Oliveira,M,SBD,Raw,Masters 2,105,235.0,135.0,265.0,635.0
Jeffrey Pagini,M,SBD,Raw,MR-O,93,142.5,105.0,215.0,462.5
Brandon Quon,M,SBD,Raw,Juniors,83,220.0,140.0,225.0,585.0
Guilherme Menezes,M,SBD,Raw,Open,83,235.0,155.0,270.0,660.0
