Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Piotr Gurba,M,SBD,Raw,Seniorzy,66,110.0,70.0,140.0,320.0
Ronald Walker,M,SBD,Single-ply,Open,83,150.0,120.0,202.5,472.5
Jonathan Webb,M,SBD,Single-ply,M-T1,93,107.5,-77.5,102.5,132.5
Sven Winther Von Der Lippe,M,SBD,Raw,Open,110,195.0,175.0,250.0,620.0
Mert Ferdi Kar,M,SBD,Raw,Open,83,205.0,122.5,222.5,550.0
Viktor Samúelsson,M,SBD,Single-ply,Juniors,120,350.0,295.0,305.0,950.0
Brad McGee,M,SBD,Single-ply,Open,110,80.0,40.0,80.0,200.0
Dominik Kováčik,M,SBD,Raw,Dorastenci,74,135.0,77.5,145.0,357.5
Nadezhda Bobrova,F,SBD,Raw,Open,52,55.0,40.0,55.0,150.0
Kevin Miller #4,M,SBD,Single-ply,M-V,56,140.0,90.0,162.5,392.5
Charlotte MacPherson,F,SBD,Raw,FR-O,63,157.5,90.0,185.0,432.5
Trevor Nelson,M,SBD,Raw,MR-O,83,165.0,112.5,227.5,505.0
Anthony Weber,M,SBD,Raw,MR-M1,120,157.5,102.5,220.0,480.0
David Lodahl,M,SBD,Single-ply,M-O,93,145.0,107.5,200.0,452.5
Sametcan Uluer,M,SBD,Raw,MR-O,74,157.5,110.0,180.0,447.5
Charif Rabah,M,SBD,Raw,Open,105,180.0,155.0,200.0,535.0
Sophie Ratajczyk,F,SBD,Raw,FR-T2,63,87.5,45.0,105.0,237.5
Rosie Geller-Stevens,F,SBD,Raw,F-C-Open,57,102.5,52.5,115.0,270.0
Jesús Daniel Prieto Freire,M,SBD,Raw,M1,120+,317.5,190.0,300.0,807.5
Scott Hill #1,M,SBD,Raw,Open,93,242.5,167.5,257.5,667.5
Johannes Haugan Lyngedal,M,SBD,Raw,Juniors 19-23,93,215.0,135.0,262.5,612.5
Beniamin Zabłocki,M,SBD,Single-ply,Juniorzy do lat 23,93,-140.0,125.0,180.0,165.0
Danielle Sweeney,F,SBD,Raw,FR-Jr,63,72.5,50.0,105.0,227.5
Mridula Agarwal,F,SBD,Single-ply,Masters 2,56,70.0,40.0,85.0,195.0
Madeleine Reynolds,F,SBD,Raw,FR-Jr,76,117.5,57.5,135.0,310.0
Olga Kuzmina,F,SBD,Raw,Sub-Juniors,84+,195.0,-100.0,175.0,270.0
Rajiv Indarjeet,M,SBD,Raw,M-O-U,66,107.5,60.0,152.5,320.0
Tony Wilkinson,M,SBD,Raw,SO,83,75.0,62.5,110.0,247.5
Jamie Ballantyne,M,SBD,Raw,M-C-U23,83,105.0,80.0,145.0,330.0
Fillip S Oddersborg,M,SBD,Raw,Open,74,95.0,100.0,110.0,305.0
Marvin Madang Gau,M,SBD,Raw,Men's Raw Open,93,190.0,117.5,227.5,535.0
Laddie Gibson,M,SBD,Single-ply,M-M1a,82.5,250.0,-187.5,227.5,290.0
Nejc Graj,M,SBD,Raw,O,74,135.0,70.0,165.0,370.0
Lukas Steffelbauer,M,SBD,Raw,Open,93,190.0,125.0,210.0,525.0
Felix Hu,M,SBD,Raw,Open,105,-200.0,137.5,260.0,197.5
Vladislav Storozhuk,M,SBD,Single-ply,Juniors,75,200.0,105.0,220.0,525.0
Olivia Hardingham,F,SBD,Raw,FR-O,63,142.5,57.5,145.0,345.0
Thea Lindam,F,SBD,Raw,Open,57,105.0,65.0,115.0,285.0
Stefano Robol,M,SBD,Single-ply,Open,83,290.0,170.0,270.0,730.0
Nikolai Nedoruev,M,SBD,Single-ply,Juniors,67.5,215.0,135.0,220.0,570.0
Kevin Jäger #1,M,SBD,Single-ply,Open,120+,-385.0,175.0,260.0,50.0
Katelyn Sinitiere,F,SBD,Single-ply,F-T,57,77.1,43.1,86.2,206.39999999999998
Taylor Ingram,F,SBD,Raw,FR-T3,63,115.0,35.0,95.0,245.0
Lea Žunić,F,SBD,Raw,Juniors,57,-65.0,-45.0,97.5,-12.5
Arild Berget,M,SBD,Single-ply,Masters 50-59,125,250.0,175.0,150.0,575.0
Nathan Mannion,M,SBD,Raw,MR-Jr,120,167.5,100.0,237.5,505.0
Samali Bosa,F,SBD,Raw,Masters 3,84+,60.0,45.0,90.0,195.0
Ben Miller #2,M,SBD,Raw,M-C-Open,93,185.0,130.0,190.0,505.0
Nina Hinterhölzl,F,SBD,Raw,Juniors,57,97.5,62.5,112.5,272.5
Wazeer Hussein,M,SBD,Raw,M-O-U,93,210.0,165.0,250.0,625.0
Nunzia Manzari,F,SBD,Raw,Open,57,-82.5,45.0,125.0,87.5
Aldreyson Ortega,M,SBD,Raw,Open,93,205.0,135.0,275.0,615.0
Kristin Thorvaldsen,F,SBD,Single-ply,Open,75,105.0,60.0,105.0,270.0
Richard Shipe,M,SBD,Raw,MR-O,93,192.5,152.5,-205.0,140.0
Dennis Unitt,M,SBD,Single-ply,Masters 3,75,140.0,90.0,162.5,392.5
Joseph Milano,M,SBD,Raw,MR-O,93,230.0,140.0,265.0,635.0
Harvey Davis,M,SBD,Raw,MR-O,66,165.0,95.0,182.5,442.5
Gary Le,M,SBD,Raw,Open,59,112.5,80.0,125.0,317.5
Markku Koivukari,M,SBD,Single-ply,Over 70,93,145.0,75.0,175.0,395.0
David Clifford,M,SBD,Raw,MR-M2,93,210.0,130.0,220.0,560.0
Trevor Walker,M,SBD,Single-ply,Masters 1,120+,200.0,190.0,200.0,590.0
José Nieves,M,SBD,Single-ply,M-O,120,195.0,155.0,210.0,560.0
Iden Kilburn,M,SBD,Raw,MR-O,74,180.0,130.0,235.0,545.0
Karel Bourgoin,F,SBD,Raw,Juniors,84,-117.5,55.0,142.5,80.0
Miša Milošević,M,SBD,Raw,O,93,170.0,130.0,200.0,500.0
Stephanie Winters,F,SBD,Raw,FR-M2,84,115.0,50.0,75.0,240.0
Kate Jackson,F,SBD,Raw,F-C-U23,72,-122.5,60.0,-140.0,-202.5
Danny Padilla,M,SBD,Raw,MR-O,83,210.0,132.5,225.0,567.5
Kathryn Chong Siew Li,F,SBD,Raw,Women's Raw Open,52,122.5,62.5,165.0,350.0
Austin Dunlap,M,SBD,Raw,MR-HS,110,217.5,142.5,225.0,585.0
Halldór Kristinn Harðarson,M,SBD,Raw,Juniors,83,150.0,100.0,200.0,450.0
Jordan Shannick,M,SBD,Raw,Open,105,170.0,112.5,215.0,497.5
Benjamin Rast,M,SBD,Raw,MR-O,100,150.0,100.0,205.0,455.0
Maer Jimenez,F,SBD,Raw,Open,72,130.0,70.0,170.0,370.0
Gonçalo Neves,M,SBD,Raw,M-CL-PL,83,190.0,125.0,250.0,565.0
John Cutrone,M,SBD,Raw,MR-T2,83,172.5,95.0,177.5,445.0
Eoin Dwyer,M,SBD,Raw,M-O,120,187.5,107.5,220.0,515.0
James Bullen,M,SBD,Raw,Juniors,66,112.5,70.0,-132.5,50.0
Chris Jennings,M,SBD,Raw,M-C-Open,66,172.5,120.0,220.0,512.5
Sascha Winters,M,SBD,Raw,Open,93,217.5,125.0,227.5,570.0
Aleksandr Mikhaylov,M,SBD,Single-ply,Open,105,280.0,210.0,-250.0,240.0
Dylan Ricks,M,SBD,Raw,MR-Jr,120,207.5,122.5,235.0,565.0
Gennady Saprygin,M,SBD,Single-ply,Masters 2,82.5,140.0,100.0,130.0,370.0
Martina Starešina,F,SBD,Raw,Open,52,55.0,30.0,70.0,155.0
Aleksandr Marchuk,M,SBD,Single-ply,Open,125,270.0,200.0,250.0,720.0
Eduard Chubaryan,M,SBD,Single-ply,Open,74,190.0,-110.0,160.0,240.0
奥田 和美,F,SBD,Single-ply,Open,56,90.0,60.0,120.0,270.0
Melissa Lemire,F,SBD,Raw,Open,84,127.5,62.5,137.5,327.5
Oliver Butler,M,SBD,Raw,MR-Jr,74,140.0,77.5,195.0,412.5
Jonathan Vidrine,M,SBD,Single-ply,M-T1,52,113.4,-72.6,111.1,151.9
Gregory Osipov,M,SBD,Raw,Open,74,115.0,67.5,150.0,332.5
Fausta Vaičiūnaitė,F,SBD,Raw,Junior,63,90.0,-50.0,100.0,140.0
Thomas Johnston #3,M,SBD,Raw,Junior,105,210.0,-100.0,230.0,340.0
Nils-Petter Knudsen,M,SBD,Single-ply,Open,110,200.0,110.0,200.0,510.0
Jeremy Williams,M,SBD,Raw,MR-O,120+,185.0,160.0,220.0,565.0
Pedro Juan Sosof Quiacain,M,SBD,Raw,Juniors,59,102.06,-83.91,142.88,161.03
Dmitriy Olesov,M,SBD,Raw,Open,59,100.0,55.0,130.0,285.0
Mikhail Sidorov,M,SBD,Single-ply,Masters 1,83,260.0,170.0,242.5,672.5
浮田 大輔,M,SBD,Single-ply,Juniors,56,140.0,100.0,170.0,410.0
Shaun Magill,M,SBD,Raw,MR-Jr,83,232.5,-137.5,295.0,390.0
Yosyp Bodnar,M,SBD,Single-ply,Juniors,90,195.0,110.0,220.0,525.0
Lidija Krivickienė,F,SBD,Single-ply,Open,76+,-160.0,80.0,160.0,80.0
Taylor Hamling,M,SBD,Raw,Juniors,83,150.0,105.0,170.0,425.0
Kenji Nakama,M,SBD,Raw,Masters 2,74,165.0,135.0,190.0,490.0
Adam Pinkard,M,SBD,Single-ply,Open,125+,-290.0,200.0,240.0,150.0
Roland Bautista,M,SBD,Raw,Juniors,66,140.0,97.5,195.0,432.5
Alison Day,F,SBD,Raw,F-C-Open,72,110.0,-72.5,135.0,172.5
Robert Maher,M,SBD,Raw,MR-O,93,192.5,132.5,222.5,547.5
Yesika Dariana Carmona Mendez,F,SBD,Raw,Open,69,-160.0,65.0,150.0,55.0
Viktória Tamási,F,SBD,Raw,Masters 1,63,92.5,52.5,125.0,270.0
Mike McQuaid,M,SBD,Raw,MR-M1,83,175.0,115.0,210.0,500.0
Sandra Dailidytė,F,SBD,Raw,F-C-Open,84,127.5,62.5,155.0,345.0
矢口 一輝,M,SBD,Raw,High School,59,130.0,-65.0,140.0,205.0
Tiffany Bolingbroke,F,SBD,Raw,Masters 1,63,120.0,62.5,137.5,320.0
Bobby Mulroney,M,SBD,Raw,MR-O,83,165.0,110.0,167.5,442.5
Mikhailo Kurbatsky,M,SBD,Single-ply,Masters 1,125,220.0,-150.0,230.0,300.0
Damian Clayton,M,SBD,Single-ply,Open,125+,200.0,125.0,220.0,545.0
Marek Vavrek,M,SBD,Raw,Dorastenci,105,170.0,-105.0,210.0,275.0
Camille Dhenin,F,SBD,Raw,Sub-Juniors,57,65.0,32.5,72.5,170.0
Kristin Furset,F,SBD,Raw,Juniors 19-23,63,80.0,45.0,120.0,245.0
Carina Sheel,F,SBD,Raw,Juniors,57,-97.5,62.5,115.0,80.0
Stephanie Sowin,F,SBD,Raw,FR-O,56,95.0,42.5,115.0,252.5
Susan Kwasny,F,SBD,Raw,FR-O,56,75.0,40.0,97.5,212.5
Bjørn Andreas Bull-Hansen,M,SBD,Single-ply,Open,110,280.0,-190.0,280.0,370.0
Jack Long,M,SBD,Raw,M-C-U23,83,165.0,132.5,230.0,527.5
Mayara Sprotte,F,SBD,Single-ply,Open,69,182.5,92.5,162.5,437.5
Vivien Röder,F,SBD,Raw,Open,72,110.0,87.5,140.0,337.5
Jamie Broussard,F,SBD,Single-ply,F-O,52,107.5,60.0,107.5,275.0
Franco Rodriguez,M,SBD,Raw,Juniors,105,165.0,90.0,200.0,455.0
Marius Jemtland,M,SBD,Single-ply,Open,93,-270.0,215.0,245.0,190.0
Owen David Forero Montenegro,M,SBD,Raw,Sub-Juniors,83,-180.0,100.0,185.0,105.0
Brenner Furlong,M,SBD,Raw,MR-T2,83,152.5,110.0,170.0,432.5
Keissy Garcia Candanoza,F,SBD,Raw,Open,52,135.0,65.0,150.0,350.0
Lyudmila Gaiduchenko,F,SBD,Single-ply,Open,90,192.5,135.0,222.5,550.0
Brett Guthrie,M,SBD,Raw,Masters 2,105,160.0,90.0,200.0,450.0
Keijo Pasanen,M,SBD,Raw,Open,83,165.0,140.0,200.0,505.0
Gabrian Meier,M,SBD,Raw,MR-O,93,230.0,152.5,257.5,640.0
Lilli Rojas,F,SBD,Single-ply,F-Jr,43,-70.0,27.5,-72.5,-115.0
Sam White,M,SBD,Single-ply,M-T2,110,-220.0,175.0,-207.5,-252.5
Dalibor Jovanović,M,SBD,Raw,J,74,100.0,95.0,150.0,345.0
Mariya Epishina,F,SBD,Single-ply,Juniors,60,140.0,72.5,-140.0,72.5
Sofia Fattobene,F,SBD,Raw,Sub-Junior,63,135.0,72.5,-145.0,62.5
Tiffany Chapon,F,SBD,Raw,Open,47,157.5,97.5,162.5,417.5
Royce Chen,M,SBD,Raw,MR-O,83,217.5,-147.5,250.0,320.0
Richard Pell,M,SBD,Single-ply,Open,60,-237.5,105.0,215.0,82.5
Diane Köffler,F,SBD,Single-ply,Aktive,67.5,85.0,45.0,115.0,245.0
Spencer Minnix,M,SBD,Raw,MR-M1,93,225.0,155.0,225.0,605.0
Wendy Williams #1,F,SBD,Raw,F-C-Open,72,90.0,45.0,130.0,265.0
Jordyn Halladay,F,SBD,Raw,Youth 2,47,42.5,25.0,57.5,125.0
Nicholas Tiller,M,SBD,Raw,MR-O,93,155.0,102.5,167.5,425.0
Kerry Ferguson,M,SBD,Raw,MR-Jr,74,157.5,102.5,177.5,437.5
Janice Shulman,F,SBD,Raw,Masters 4,52,55.0,37.5,80.0,172.5
Tabitha Panton,F,SBD,Raw,F-C-U23,84,110.0,55.0,130.0,295.0
Veljko Štrbanovic,M,SBD,Raw,J,59,85.0,75.0,120.0,280.0
Petri Heikkinen,M,SBD,Single-ply,Open,100,295.0,200.0,270.0,765.0
Róbert Valach,M,SBD,Single-ply,Sub-Juniors,110,290.0,165.0,290.0,745.0
Grzegorz Bracha,M,SBD,Raw,Seniorzy,74,190.0,135.0,212.5,537.5
Elias Pedersen,M,SBD,Raw,Open,66,105.0,55.0,110.0,270.0
Thiago Santos,M,SBD,Raw,MR-O,93,-125.0,112.5,160.0,147.5
Andrew Thompson #1,M,SBD,Single-ply,Open,125+,320.0,260.0,305.0,885.0
Aino Askala,F,SBD,Raw,Open,72,110.0,85.0,137.5,332.5
Mark Johnson #15,M,SBD,Single-ply,Open,100,265.0,192.5,-265.0,192.5
Gary Wong,M,SBD,Raw,MR-Jr,105,217.5,137.5,227.5,582.5
Merle Rimbach,F,SBD,Raw,Juniors,63,105.0,55.0,130.0,290.0
Trey Rikard,M,SBD,Raw,MR-O,83,225.0,140.0,265.0,630.0
Jun Furukawa,M,SBD,Single-ply,Juniors,83,280.0,160.0,-270.0,170.0
Andrew Sevillano,M,SBD,Raw,Open,74,150.0,110.0,-180.0,80.0
Paulius Ignatavičius,M,SBD,Single-ply,M-Sj,66,160.0,95.0,200.0,455.0
Swara Salim Ibrahim,M,SBD,Single-ply,Juniors 19-23,93,185.0,-140.0,220.0,265.0
Chun-Hsiung Lee,M,SBD,Single-ply,Open,90,250.0,120.0,270.0,640.0
Konstantinos Chalkidis,M,SBD,Raw,Sub-Junior,83,-110.0,67.5,125.0,82.5
John Dugas,M,SBD,Raw,MR-O,120+,192.5,97.5,230.0,520.0
Wim Wamsteeker,M,SBD,Raw,Masters 2,120+,215.0,-120.0,227.5,322.5
Paul Boss,M,SBD,Raw,MR-V,83,160.0,120.0,200.0,480.0
Oleksandr Yermakov,M,SBD,Single-ply,Masters 1,75,180.0,110.0,190.0,480.0
Hannah Bryan,F,SBD,Raw,FR-Jr,72,120.0,-95.0,130.0,155.0
Lee-Lou Connebert,F,SBD,Raw,Open,52,90.0,45.0,100.0,235.0
Gabriela Znik,F,SBD,Single-ply,Juniors,44,65.0,35.0,-85.0,15.0
Michela Gubernati,F,SBD,Single-ply,Master I,69,180.0,87.5,185.0,452.5
Claire Hendy,F,SBD,Raw,F-C-M1,72,87.5,52.5,122.5,262.5
James McIlwaine,M,SBD,Raw,M-C-U23,74,195.0,95.0,185.0,475.0
Romain Boissel,M,SBD,Raw,Seniors,83,-180.0,130.0,240.0,190.0
Rachel Gallagher,F,SBD,Raw,FR-O,57,100.0,60.0,110.0,270.0
Gianni Loddo,M,SBD,Raw,Sub-Juniors,66,120.0,90.0,160.0,370.0
Joseph Borenstein,M,SBD,Raw,MR-O,83,277.5,202.5,355.0,835.0
Sharma Arvind,M,SBD,Single-ply,Open,125,300.0,177.5,300.0,777.5
Emma Montfort,F,SBD,Raw,Cadet,63,25.0,20.0,45.0,90.0
Mathew Ung,M,SBD,Raw,Juniors,105,180.0,145.0,180.0,505.0
Raluca-Florica Popp,F,SBD,Raw,F-C-Open,57,-75.0,42.5,100.0,67.5
Tay Wee Kee,M,SBD,Raw,Junior,66,160.0,90.0,157.5,407.5
Victor Colon-Seekwar,M,SBD,Raw,MR-C,83,157.5,110.0,212.5,480.0
Andrew Berardinelli,M,SBD,Raw,MR-O,105,207.5,105.0,237.5,550.0
Camilo Andres Roman Castiblanco,M,SBD,Raw,Juniors,66,140.0,70.0,150.0,360.0
Andrew Allden,M,SBD,Raw,Juniors,93,185.0,132.5,225.0,542.5
Sheng-Ci Su,F,SBD,Single-ply,Sub-Juniors,84+,190.0,90.0,160.0,440.0
Jacob Myers,M,SBD,Raw,MR-Jr,93,182.5,110.0,242.5,535.0
Brock Conrad,M,SBD,Raw,MR-O,83,117.5,95.0,142.5,355.0
Elizabeth Carpenter,F,SBD,Raw,FR-M1a,84+,107.5,77.5,150.0,335.0
Zachary Roberts,M,SBD,Raw,MR-O,105,197.5,125.0,245.0,567.5
Irandousttari Amin,M,SBD,Single-ply,Juniors,90,-230.0,140.0,225.0,135.0
Aleksandr Yakovlev,M,SBD,Single-ply,Open,67.5,220.0,140.0,-220.0,140.0
Joseph Medved,M,SBD,Single-ply,Open,90,220.0,125.0,230.0,575.0
Catherine Sorrenson,F,SBD,Raw,Masters 1,57,-113.0,70.0,125.5,82.5
Kristi Anne Veien,F,SBD,Raw,Masters 40-49,84+,80.0,55.0,115.0,250.0
Piotr Burzawa,M,SBD,Raw,Juniorzy do lat 20,66,115.0,75.0,-145.0,45.0
Yngve Gustafsson,M,SBD,Single-ply,Open,125+,342.5,-232.5,297.5,407.5
Daniel Hodsdon,M,SBD,Raw,MR-Jr,74,130.0,110.0,130.0,370.0
Paulina Pajączkowska,F,SBD,Single-ply,Juniorki do lat 23,63,160.0,77.5,160.0,397.5
Artur Bechthold,M,SBD,Raw,Open,93,180.0,135.0,200.0,515.0
Louisa Salmon,F,SBD,Raw,F-C-Open,72,110.0,72.5,110.0,292.5
Alexis Castro #1,M,SBD,Raw,MR-O,74,132.5,90.0,-162.5,60.0
Leo Sustaita,M,SBD,Raw,MR-T3,74,215.0,130.0,217.5,562.5
Madalina Ivanovici,F,SBD,Single-ply,Junior II,52,50.0,30.0,70.0,150.0
Jake Dawes-Smith,M,SBD,Raw,MR-O,74,135.0,92.5,160.0,387.5
Kim Kohl,M,SBD,Raw,Open,74,162.5,112.5,187.5,462.5
Gina Hensley,F,SBD,Raw,FR-O,84,165.0,102.5,182.5,450.0
長谷川 真紀,F,SBD,Single-ply,Open,57,120.0,75.0,120.0,315.0
Janne-Pekka Hakala,M,SBD,Single-ply,Over 40,90,-200.0,135.0,210.0,145.0
Zoey Carrico,F,SBD,Raw,FR-C,63,105.0,55.0,105.0,265.0
Davide Boccia,M,SBD,Raw,Senior,93,140.0,100.0,180.0,420.0
Lukáš Trtil,M,SBD,Single-ply,Open,120,180.0,-120.0,200.0,260.0
Max Liersch,M,SBD,Raw,Juniors,105,155.0,95.0,175.0,425.0
Mikael Gullander,M,SBD,Raw,Open,105,270.0,187.5,300.0,757.5
Seth Botelho,M,SBD,Raw,MR-O,83,147.5,125.0,182.5,455.0
Érica Duque,F,SBD,Raw,Open,47,95.0,52.5,97.5,245.0
Miroslav Koprnicky,M,SBD,Single-ply,Masters 3,93,-190.0,157.5,210.0,177.5
Emmanuel Preclaire,M,SBD,Raw,Masters 1,93,170.0,120.0,220.0,510.0
Till Thomale,M,SBD,Single-ply,Open,83,205.0,162.5,200.0,567.5
Zdravko Petrov,M,SBD,Single-ply,M-O,83,285.0,190.0,245.0,720.0
Vanessa Trujillo,F,SBD,Raw,FR-O,84,122.5,55.0,130.0,307.5
Ching-Lun Lin,M,SBD,Raw,Open,66,180.0,135.0,227.5,542.5
Felicia Jiang,F,SBD,Raw,Open,47,102.5,45.0,110.0,257.5
Georg Øksendal,M,SBD,Raw,Masters 40-49,120+,180.0,185.0,200.0,565.0
中条 義喜,M,SBD,Single-ply,Open,56,170.0,105.0,180.0,455.0
Yosuke Kiuchi,M,SBD,Single-ply,Open,66,270.0,165.0,265.0,700.0
Calvin Larson,M,SBD,Raw,Masters 1,105,145.0,-110.0,180.0,215.0
Nikolaos Karras,M,SBD,Raw,Juniors,93,240.0,160.0,267.5,667.5
Nick Napoli,M,SBD,Raw,MR-T2,83,-155.0,-72.5,165.0,-62.5
Thao Doan,F,SBD,Raw,FR-C,52,65.0,-32.5,77.5,110.0
Brian Hegemann,M,SBD,Raw,MR-M,93,165.0,120.0,165.0,450.0
王诚胤,M,SBD,Raw,Open,83,180.0,125.0,175.0,480.0
Sari Rauhala,F,SBD,Single-ply,Open,84+,55.0,90.0,85.0,230.0
Hugo B Klopfenstein,M,SBD,Raw,Open,93,187.5,130.0,255.0,572.5
Zaccaria Jerdouh,M,SBD,Single-ply,Junior,74,180.0,110.0,210.0,500.0
Jesse Korpi,M,SBD,Raw,Under 18,93,110.0,95.0,170.0,375.0
Tyler Prata,M,SBD,Raw,MR-O,83,145.0,100.0,225.0,470.0
Gabor Laczka,M,SBD,Single-ply,Sub-Juniors,100,-230.0,155.0,230.0,155.0
Pierre Fontenot,M,SBD,Raw,MR-T3,93,185.0,142.5,210.0,537.5
Stanislav Alistratov,M,SBD,Single-ply,Juniors,120+,270.0,140.0,260.0,670.0
Asgeir Hoel,M,SBD,Single-ply,Open,105,330.0,232.5,305.0,867.5
Brandi Eberly,F,SBD,Raw,FR-O,75,72.5,45.0,100.0,217.5
Roland Eslava,M,SBD,Raw,Juniors,93,187.5,110.0,202.5,500.0
Matt Lingard,M,SBD,Raw,M-C-M1,93,210.0,145.0,220.0,575.0
AJ Delutis,M,SBD,Raw,MR-Jr,93,172.5,115.0,205.0,492.5
Keaton Kaulfus,M,SBD,Single-ply,M-T2,93,177.5,125.0,182.5,485.0
Kane Kavanagh-Baer,M,SBD,Raw,M-O,120,215.0,127.5,245.0,587.5
Nathan Zielinski,M,SBD,Raw,MR-JV,74,127.5,75.0,175.0,377.5
Bertram Worm,M,SBD,Raw,Sub-Juniors,83,172.5,105.0,200.0,477.5
Robert Cintron,M,SBD,Raw,MR-T3,83,-185.0,145.0,197.5,157.5
Paula Duarte,F,SBD,Raw,Juniors,57,95.0,45.0,117.5,257.5
Sajeevan Bhaskaran,M,SBD,Single-ply,Open,52,170.0,80.0,220.0,470.0
Petter Pettersen,M,SBD,Single-ply,Juniors 19-23,82.5,180.0,105.0,200.0,485.0
Elisabeth Leirvik,F,SBD,Raw,Teen 14-18,76,87.5,42.5,92.5,222.5
Zackary Borawski,M,SBD,Raw,MR-T2,83,-130.0,-92.5,142.5,-80.0
Judy Wang,F,SBD,Raw,FR-O,84,137.5,52.5,137.5,327.5
Abhishek Dubey,M,SBD,Single-ply,Juniors,93,277.5,170.0,-267.5,180.0
Antonio Miletić,M,SBD,Raw,Open,74,105.0,75.0,140.0,320.0
Weronika Kawa,F,SBD,Raw,Seniorki,69,100.0,47.5,125.0,272.5
Omar Khan,M,SBD,Raw,M-C-U23,74,180.0,105.0,210.0,495.0
Isaiah Siulepa,M,SBD,Raw,Open,93,210.0,122.5,220.0,552.5
Ty Stapleton,M,SBD,Single-ply,Open,90,-300.0,207.5,275.0,182.5
Pedro Antonio Baldan Mendes,M,SBD,Single-ply,Open,120,-240.0,150.0,225.0,135.0
Alana Olivieri,F,SBD,Raw,Open,72,-105.0,55.0,130.0,80.0
Hui-Chuan Huang,F,SBD,Single-ply,Open,47,100.0,65.0,155.0,320.0
Nimród Kovács,M,SBD,Raw,Juniors,93,165.0,-110.0,175.0,230.0
Elizabeth Irvine,F,SBD,Raw,Juniors,76,137.5,95.0,150.0,382.5
Carmen Pirva,F,SBD,Single-ply,Junior II,90,20.0,20.0,30.0,70.0
Yanis Hadjadj,M,SBD,Raw,Sub-Juniors,74,130.0,70.0,140.0,340.0
Julius Ingelow,M,SBD,Single-ply,Juniors,66,170.0,105.0,190.0,465.0
Joel Chan,M,SBD,Raw,Juniors,66,170.0,120.0,205.0,495.0
Eric Oishi,M,SBD,Raw,Masters 1,66,205.0,115.0,180.0,500.0
Marina Džapo,F,SBD,Raw,Open,63,-70.0,35.0,90.0,55.0
Hubert Boudreault,M,SBD,Raw,Open,93,190.0,122.5,242.5,555.0
Chiang Yi,F,SBD,Raw,Women's Raw Open,76,85.0,47.5,110.0,242.5
Oddbjørn Viken,M,SBD,Raw,Masters 50-59,105,-157.5,112.5,182.5,137.5
Haakon Borstad,M,SBD,Raw,MR-O,120,177.5,115.0,225.0,517.5
S S Sreelakshmi,F,SBD,Raw,Open,47,70.0,50.0,90.0,210.0
Sanna Ahonen,F,SBD,Raw,Open,63,80.0,-65.0,90.0,105.0
Sophia Ellis,F,SBD,Raw,FR-Jr,72,127.5,90.0,182.5,400.0
Pei-Yu Wang,M,SBD,Raw,Open,120+,350.0,205.0,325.0,880.0
Ilias Kousanas,M,SBD,Raw,Open,66,120.0,90.0,150.0,360.0
Samuel Stoiber,M,SBD,Raw,MR-C,105,160.0,107.5,215.0,482.5
Matteo Morri,M,SBD,Raw,Junior,74,215.0,120.0,210.0,545.0
Craig Bolton,M,SBD,Single-ply,Masters 1,120,245.0,150.0,235.0,630.0
Ewelina Czop,F,SBD,Raw,Seniorki,63,105.0,40.0,105.0,250.0
Jaspal Panesar,M,SBD,Raw,MR-G,93,182.5,97.5,250.0,530.0
Dmitriy Yamschikov,M,SBD,Single-ply,Juniors,82.5,280.0,170.0,260.0,710.0
Justin Mike,M,SBD,Raw,MR-O,59,-102.5,112.5,117.5,127.5
Silja Mansikka-Aho,F,SBD,Raw,Masters 3,72,65.0,40.0,110.0,215.0
Rochene Hawley,F,SBD,Raw,Open,57,92.5,52.5,105.0,250.0
Anatoliy Solomonov,M,SBD,Single-ply,Open,125+,-310.0,200.0,200.0,90.0
Kyle Knapp,M,SBD,Raw,MR-C,74,-192.5,120.0,192.5,120.0
Ilka Schwengl-Forsthuber,F,SBD,Single-ply,Open,48,120.0,92.5,127.5,340.0
Dave Dunford,M,SBD,Single-ply,Masters 1,105,-290.0,200.0,275.0,185.0
Caleb Lamberth,M,SBD,Raw,MR-O,105,225.0,145.0,250.0,620.0
Edouard Blanc,M,SBD,Raw,Juniors,83,195.0,115.0,195.0,505.0
Juraj Gorupec,M,SBD,Raw,Open,83,185.0,97.5,185.0,467.5
Brenda Rubio Amorós,F,SBD,Raw,SNR,52,100.0,50.0,120.0,270.0
Adrian O'Callaghan,M,SBD,Raw,M-C-Open,83,185.0,120.0,200.0,505.0
Theresa Baccielo,F,SBD,Raw,FR-O,76,122.5,85.0,135.0,342.5
Tuomas Korkia-Aho,M,SBD,Single-ply,Juniors,125+,340.0,310.0,200.0,850.0
Chris Heaton-Harris,M,SBD,Raw,M-Novice,74,90.0,85.0,150.0,325.0
Alex Ziepke,F,SBD,Single-ply,F-V,52,97.5,42.5,100.0,240.0
Andrei Irimie,M,SBD,Single-ply,Open,93,215.0,255.0,180.0,650.0
Emmanuel Foster,M,SBD,Raw,Open,66,182.5,117.5,210.0,510.0
Michael Porter #2,M,SBD,Raw,MR-T1,74,107.5,70.0,150.0,327.5
Sławomir Śledź,M,SBD,Raw,Weterani 40-49 lat,83,190.0,140.0,210.0,540.0
